time,signal,attention,meditation,delta,theta,lowAlpha,highAlpha,lowBeta,highBeta,lowGamma,midGamma,blinkStrength,
122056,0,51,69,485105,652585,69963,13103,49264,16781,11895,6062,56,
122057,0,47,51,519983,260580,25121,59782,13738,10020,6393,18569,42,
122058,0,40,48,559240,48369,16403,14155,6408,3747,4129,1532,42,
122059,0,41,64,927181,56815,21428,13047,10095,3166,5809,1822,42,
122100,0,41,56,640013,52533,6263,7897,27638,12659,8508,6086,42,
122101,0,51,61,549656,61258,26285,5617,5006,11448,10891,5356,78,
122102,0,53,43,161935,614055,51267,28792,37383,38927,14034,7635,78,
122103,0,60,37,185278,39434,11134,1699,1552,5094,3546,1904,78,
122104,0,60,51,73671,31140,16492,8038,3675,9833,9308,3175,62,
122105,0,64,41,86990,193008,13633,34723,44492,54735,12064,12447,62,
122106,0,66,70,629968,35868,75739,22494,6102,12755,17418,5074,62,
122107,0,70,78,29658,31961,19099,9157,15448,10743,5443,2718,62,
122109,0,77,74,25415,21037,8374,6447,8168,12512,11751,8250,62,
122110,0,78,54,92496,85361,6887,7976,5803,6724,4317,1611,68,
122111,0,75,63,756367,58543,77683,13928,18113,17855,9690,4226,68,
122112,0,66,78,1373540,35682,57303,37071,25528,14352,26071,6339,41,
122113,0,50,64,397963,137411,7999,10148,7247,5064,5162,1863,41,
122114,0,60,93,28255,9864,31802,22200,9144,17273,14338,6682,41,
122115,0,61,80,125027,5662,1181,2024,2426,1270,1013,944,41,
122116,0,66,75,426066,14953,45000,7505,27652,19103,10835,6009,41,
122117,0,77,94,93493,86261,20978,48723,3678,19872,11237,10667,41,
122118,0,60,87,702981,56053,32814,20661,8767,2814,3176,1302,67,
122119,0,54,84,301747,244917,59307,29241,32305,23283,7224,5117,67,
122120,0,53,66,172536,17395,2681,1246,2723,3985,756,975,67,
122121,0,51,51,2135196,143080,16191,12624,17673,18053,8808,8853,67,
122122,0,74,37,11797,32345,5430,19194,39651,33625,9714,9758,67,
122123,0,84,37,494799,33453,11047,8713,19496,19356,22445,10668,67,
122124,0,88,51,354065,35405,11354,41583,26202,27540,17505,2785,67,
122125,0,93,61,495767,22078,13311,2751,12516,8912,12193,5511,67,
122126,0,83,70,378358,66869,41531,47366,64385,22667,9756,6779,67,
122127,0,80,77,140231,46798,13067,17889,12840,14792,12296,3999,67,
122128,0,67,60,128176,167195,17455,13167,18685,11838,29798,2782,67,
122129,0,64,64,58978,23527,21500,26094,36669,10838,5918,4097,67,
122130,0,63,57,1660695,216921,68141,28901,54429,33533,8743,5151,67,
